"disasterNumber","totalNumberIaApproved","totalAmountIhpApproved","totalAmountHaApproved","totalAmountOnaApproved","totalObligatedAmountPa","totalObligatedAmountCatAb","totalObligatedAmountCatC2g","paLoadDate","iaLoadDate","totalObligatedAmountHmgp","hash","lastRefresh","id"
1292,NA,NA,NA,NA,298105794.06,143602692.89,150485207.39,"2023-11-06T00:00:00.000Z",NA,67665966,"adf21a3d48f3420d166fedb1c10bff5626e2789d","2023-11-06T04:42:49.773Z","9af0c990-f525-497d-9eb9-a673b1c0a340"
1293,NA,NA,NA,NA,19890308.77,8206956.08,11605641.68,"2023-11-06T00:00:00.000Z",NA,4034816,"95f8d2e2397cd1ce0fb4ba2ecc7da0119b3ddaf7","2023-11-06T04:42:49.773Z","53e72661-00a8-4fed-94f1-e816fc911f3f"
1294,NA,NA,NA,NA,10347269.34,4079425.04,5840828.95,"2023-11-06T00:00:00.000Z",NA,4277685,"e8b18e8d24671598000ba8e45b50cfe32c6ba32b","2023-11-06T04:42:49.773Z","447d4690-7a03-4444-a017-7040f27f0525"
1295,NA,NA,NA,NA,38703382.74,17818465.28,20285139.28,"2023-11-06T00:00:00.000Z",NA,9436261,"38f6fad7bc02200f43a78d175de5c1fd663e7219","2023-11-06T04:42:49.773Z","6e7a7b24-e718-45e2-8f7d-0d7f5de94e4c"
1296,NA,NA,NA,NA,41182922.07,10759369.68,29436671.56,"2023-11-06T00:00:00.000Z",NA,4413443,"a878a69eed8ccb098ecad8ac6acd124fac76a1b3","2023-11-06T04:42:49.773Z","40523552-76c5-4712-b472-a94d03fb3550"
1297,NA,NA,NA,NA,3374929.57,413506.66,2970485.64,"2023-11-06T00:00:00.000Z",NA,831368,"1fe93b0c6798a067c39fd02391f16e54ceaafa10","2023-11-06T04:42:49.773Z","7b8b17c1-ea3b-413b-b468-fdd65a4c5e1d"
1299,NA,NA,NA,NA,20544924.45,13046343.17,7178637.83,"2023-11-06T00:00:00.000Z",NA,6074584,"1cc5f15402243d517228f657692b13fc68adb550","2023-11-06T04:42:49.773Z","478f4075-742f-46b4-9f88-17f3cfb5af36"
1300,NA,NA,NA,NA,34309695.49,16704381.41,17070710.07,"2023-11-06T00:00:00.000Z",NA,3599288,"d7e7331dc93e50923a620131ff0d7288a044afe4","2023-11-06T04:42:49.773Z","acac162a-401e-4d1a-b8e6-496b39a4cc51"
1301,NA,NA,NA,NA,1968329.67,18254.17,1953360.86,"2023-11-06T00:00:00.000Z",NA,7803,"263e81e013601d40064f58ac07adcd995e927a51","2023-11-06T04:42:49.773Z","4fb5f741-e574-4105-b741-f3d30f4d9234"
1302,NA,NA,NA,NA,1875868.51,590763.4,1224126.36,"2023-11-06T00:00:00.000Z",NA,107462,"f31c761c908200fba47a5909e949bd4e1d49b205","2023-11-06T04:42:49.773Z","e2264ad9-4a55-4089-980c-6a830c5c74b6"
1303,NA,NA,NA,NA,5462529.93,1195275.68,4267254.25,"2023-11-06T00:00:00.000Z",NA,1061424,"ebd2a3fd69bdc707b0bfbc016175803bb64364f4","2023-11-06T04:42:49.773Z","f3cc27fc-4dec-4f1e-a8ef-6cd12dffd1be"
1305,NA,NA,NA,NA,594693.82,73108.21,521585.61,"2023-11-06T00:00:00.000Z",NA,11345,"9fcca78307a2a96ea2374b8424a65010b1169780","2023-11-06T04:42:49.773Z","a27c065e-54ba-42ab-89cd-32300104c524"
1306,NA,NA,NA,NA,106261560.28,32644798.12,72246572.61,"2023-11-06T00:00:00.000Z",NA,21423043,"a95443da4054dd0e0eae0d4e7e084a0381eea67c","2023-11-06T04:42:49.773Z","41bb6a73-d0eb-4b1b-8a92-1f7d602a25db"
1307,NA,NA,NA,NA,1010652.61,397663.92,612988.69,"2023-11-06T00:00:00.000Z",NA,111961,"bec51ab663d65b2e38a9133f8abd662cf6c0c848","2023-11-06T04:42:49.773Z","f346d9ef-a209-4ffd-bc82-1f3707f51238"
1308,NA,NA,NA,NA,920741.26,21376.49,880889.25,"2023-11-06T00:00:00.000Z",NA,136145,"eef600c3e9bafd8d9ec1cd35d93dd231cd534bd2","2023-11-06T04:42:49.773Z","23f284b5-79ae-4df1-b5fb-14c59eb56afc"
1309,NA,NA,NA,NA,4844695.58,1257343.05,1891051.87,"2023-11-06T00:00:00.000Z",NA,1847365,"9790f7b9d722688e7fa4c9b23fa9f1d9404ec76f","2023-11-06T04:42:49.773Z","c93edef0-0bc8-4840-b67a-495732221c09"
1310,NA,NA,NA,NA,4680340.29,1386231.25,3245139.39,"2023-11-06T00:00:00.000Z",NA,250405,"d640b9738b0faeb9c604d13cc1e878a1dfc3398c","2023-11-06T04:42:49.773Z","9085db3c-c663-4aef-948c-a9b91234d53a"
1311,NA,NA,NA,NA,36909135.59,26066940.79,10849669.36,"2023-11-06T00:00:00.000Z",NA,5289650,"bc2066adea14b5102e594a34c21b998843262124","2023-11-06T04:42:49.773Z","3734a730-491c-4c34-9c05-f717c9002db0"
1290,NA,NA,NA,NA,NA,NA,NA,NA,NA,200782,"fbe5b8caa213cd388e1d7773b121c3c74559a5fb","2023-03-18T13:22:12.883Z","ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a"
1291,NA,NA,NA,NA,NA,NA,NA,NA,NA,381636,"8f0f0908874eb215f6e3d73799c8e8d2d29da7b3","2023-03-18T13:22:12.883Z","38aea223-c601-4817-a74e-de666d29392a"
1312,NA,NA,NA,NA,27368107.85,20690288.33,6631775.1,"2023-11-06T00:00:00.000Z",NA,3453353,"c7375c58b5f848cc12a5a91161dfa124ae47b709","2023-11-06T04:42:49.773Z","23dd45cb-19ec-46d9-8b27-363b754f0400"
1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,302741,"185f4706b8bee0537badc0126c55da717775e812","2023-10-09T02:24:46.659Z","f91f1449-8cd3-4923-9a60-4f8a8ad78ae7"
5470,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"632c31ecf93420da7e44985de106552e90994371","2023-07-25T23:02:30.960Z","7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1"
5471,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"84b7241d62b7bf982f1fae0f56d0e4b3b20712bb","2023-07-25T23:02:30.960Z","7c917300-8f0a-4d84-b574-d27e98859baa"
